"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
2.153884507E2,6.501255002E1,2.550199463E1,1.798817617E1,1.578682458E0,3.254325899E1,9.483434695E0,1.283450328E1
2.163884461E2,6.501256309E1,2.550201491E1,1.808064468E1,1.540134249E0,3.297219971E1,9.537611771E0,1.334685624E1
2.173884413E2,6.501257446E1,2.550202697E1,1.834283140E1,1.378156546E0,2.831835383E1,9.537611817E0,1.334277608E1
2.183884373E2,6.501258586E1,2.550204851E1,1.871985917E1,1.481573686E0,3.589492956E1,9.584502672E0,1.326683759E1
2.193884325E2,6.501260169E1,2.550206597E1,1.849703212E1,1.641464771E0,3.037107519E1,9.476799669E0,1.304981033E1
2.203884290E2,6.501261540E1,2.550208154E1,1.833357293E1,1.551577561E0,2.984154235E1,9.476799685E0,1.308333377E1
2.213884238E2,6.501262485E1,2.550209965E1,1.804729781E1,1.414443177E0,3.457760997E1,9.529315421E0,1.311343642E1
2.223884199E2,6.501263664E1,2.550211541E1,1.791365395E1,1.484330252E0,3.119096096E1,9.723649090E0,1.297594165E1
2.233884156E2,6.501264591E1,2.550213380E1,1.807268852E1,1.474730022E0,2.927015258E1,9.618337236E0,1.294741071E1
2.243884116E2,6.501265821E1,2.550215317E1,1.757647941E1,1.554430302E0,2.890164559E1,9.618337154E0,1.334089614E1
2.253884069E2,6.501267182E1,2.550217249E1,1.711245217E1,1.589767611E0,3.209826694E1,9.623717966E0,1.303357351E1
2.263884029E2,6.501268225E1,2.550219074E1,1.719481007E1,1.442233225E0,2.771280438E1,9.623717877E0,1.355681445E1
2.273883984E2,6.501269453E1,2.550221484E1,1.688225117E1,1.591642472E0,3.921641710E1,9.623717822E0,1.364711394E1
2.283883940E2,6.501270447E1,2.550221668E1,1.619323285E1,1.309269597E0,2.466116360E1,9.703027070E0,1.346605822E1
2.293883902E2,6.501271395E1,2.550223851E1,1.611688266E1,1.461800261E0,3.356769243E1,9.661434655E0,1.296765446E1
2.303883855E2,6.501272718E1,2.550226177E1,1.600791069E1,1.601234180E0,3.415976052E1,9.691158817E0,1.316906944E1
2.313883810E2,6.501274243E1,2.550228301E1,1.635639238E1,1.506994040E0,3.380000364E1,9.559467215E0,1.358913715E1
